,from,to,weight
0,112,A09,180
1,125,A24,180
2,127,725,180
3,127,902,180
4,127,A27,300
5,127,R16,180
6,132,D19,300
7,132,L02,180
8,140,R27,120
9,222,415,180
10,228,A36,180
11,228,E01,180
12,228,R25,420
13,229,418,300
14,229,A38,180
15,229,M22,300
16,232,423,300
17,232,R28,180
18,235,D24,180
19,235,R31,180
20,239,S04,180
21,254,L26,300
22,414,D11,180
23,415,222,180
24,418,229,300
25,418,A38,180
26,418,M22,300
27,423,232,300
28,423,R28,180
29,629,B08,300
30,629,R11,180
31,630,F11,180
32,631,723,180
33,631,901,180
34,635,L03,180
35,635,R20,180
36,637,D21,180
37,639,M20,180
38,639,Q01,180
39,639,R23,180
40,640,M21,180
41,710,G14,180
42,718,R09,0
43,719,F09,300
44,719,G22,180
45,723,631,180
46,723,901,300
47,724,D16,180
48,725,127,180
49,725,902,300
50,725,A27,180
51,725,R16,180
52,901,631,180
53,901,723,300
54,902,127,180
55,902,725,300
56,902,A27,300
57,902,R16,180
58,A09,112,180
59,A12,D13,180
60,A24,125,180
61,A27,127,300
62,A27,725,180
63,A27,902,300
64,A27,R16,300
65,A31,L01,90
66,A32,D20,180
67,A36,228,180
68,A36,E01,300
69,A36,R25,420
70,A38,229,180
71,A38,418,180
72,A38,M22,180
73,A41,R29,90
74,A45,S01,180
75,A51,J27,180
76,A51,L22,180
77,B08,629,300
78,B08,R11,300
79,B16,N04,180
80,D11,414,180
81,D13,A12,180
82,D16,724,180
83,D17,R17,180
84,D19,132,300
85,D19,L02,180
86,D20,A32,180
87,D21,637,180
88,D24,235,180
89,D24,R31,300
90,E01,228,180
91,E01,A36,300
92,E01,R25,240
93,F09,719,300
94,F09,G22,180
95,F11,630,180
96,F15,M18,180
97,F23,R33,180
98,G14,710,180
99,G22,719,180
100,G22,F09,180
101,G29,L10,180
102,J27,A51,180
103,J27,L22,180
104,L01,A31,90
105,L02,132,180
106,L02,D19,180
107,L03,635,180
108,L03,R20,180
109,L10,G29,180
110,L17,M08,180
111,L22,A51,180
112,L22,J27,180
113,L26,254,300
114,M08,L17,180
115,M18,F15,180
116,M20,639,180
117,M20,Q01,180
118,M20,R23,300
119,M21,640,180
120,M22,229,300
121,M22,418,300
122,M22,A38,180
